LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
439.82,145.78,39.32,28.29,1.39,0.082782602,3,3.467019762,5.428594733,2.940771628,3.142947037,0.339546295,-1.737058469
932.84,248.44,57.47,55.63,1.03,0.06045387,3,3.665548733,6.065776618,3.174333664,3.732603898,0.029639807,-1.875657031
2300.28,371.32,97.98,66.92,1.46,0.066733517,3,3.866579638,6.553783302,3.484361016,3.891162344,0.392004924,-1.833525426
345.48,123.21,32.28,22.95,1.41,0.091031351,3,3.396458896,5.229929994,2.814887219,2.957507333,0.354750155,-1.692455893
449.57,100.21,44.73,14.42,3.1,0.179075095,1,3.473255582,4.987444926,3.021356541,2.540363126,1.258585118,-1.333836003
252.44,150.68,35.98,34.88,1.03,0.044474077,3,3.299349257,5.467774055,2.884515296,3.327136639,0.029639807,-1.998606125
554.46,114.93,50,17.96,2.78,0.167904911,2,3.531492718,5.148098326,3.089937331,2.738326542,1.125599344,-1.371296308
593.44,187.43,43.87,29.61,1.48,0.067570728,3,3.549827129,5.727527225,3.009304042,3.183181768,0.406616124,-1.828118219
432.21,90.23,37.89,16.88,2.24,0.212350304,3,3.462035608,4.864980681,2.917370717,2.68256564,0.869776556,-1.231033655
687.71,213.51,48.69,45.99,1.06,0.060343277,3,3.588739737,5.883502225,3.0736768,3.568161874,0.058584251,-1.876425554
1076.31,202.27,90.62,21.77,4.16,0.105228752,1,3.699960537,5.818671098,3.440271345,2.910486722,1.631262708,-1.621823899
778.31,169.98,56.74,30.39,1.87,0.107749919,2,3.620502971,5.610979176,3.166646689,3.206091474,0.663638641,-1.609981475
1536.66,168.02,65.76,36.86,1.78,0.217728769,1,3.781329474,5.597173161,3.254612665,3.375462763,0.608506971,-1.215485009
1294.55,217.28,63.85,47.06,1.36,0.109682999,3,3.74289594,5.904510477,3.237168339,3.588098192,0.316402778,-1.601030405
546.36,126.35,36.52,27.94,1.31,0.136895255,3,3.527487403,5.259579996,2.893999778,3.131951785,0.276888754,-1.485236531
452.52,114.7,52.56,13.26,3.96,0.137584951,1,3.475110235,5.145744797,3.120372473,2.464310067,1.567407065,-1.482517657
623.97,116.34,50.7,17.63,2.88,0.184401981,2,3.563200867,5.162427796,3.098430737,2.721665891,1.16844106,-1.316538558
865.19,136.45,58.62,21.54,2.72,0.185876464,1,3.647027891,5.350343293,3.186223012,2.901014249,1.099287812,-1.311811722
711.58,229.04,56.5,50.98,1.11,0.054257659,3,3.597578111,5.967851149,3.164095118,3.657319587,0.10537443,-1.920305641
835.64,178.41,59.87,30.79,1.94,0.105012458,3,3.63838122,5.668657613,3.198851987,3.217604581,0.70504282,-1.622848966
979.95,192.41,54.2,48.69,1.11,0.105878707,3,3.677514446,5.7588672,3.13900577,3.617582307,0.10537443,-1.618752344
1691.85,215.17,92.46,32.58,2.84,0.146170054,3,3.802309356,5.892796342,3.451662125,3.267293366,1.151452104,-1.449436147
1110.42,249.26,61.4,47.55,1.29,0.071489471,3,3.70733147,6.069751101,3.213911801,3.597071482,0.260738386,-1.803406085
990.12,151.12,66.38,23.15,2.87,0.173421898,1,3.680006617,5.471231749,3.260152886,2.965227775,1.164211936,-1.352586265
309.23,115.65,33.04,25.58,1.29,0.092480536,3,3.362866261,5.15543659,2.829899081,3.053862522,0.260738386,-1.6849115
572.65,198.91,55.43,35.2,1.57,0.057894329,3,3.540235717,5.798614256,3.152568975,3.335136807,0.470440535,-1.893698608
270.52,81.65,36.56,11.33,3.23,0.162310641,2,3.321301385,4.748741969,2.894696043,2.321021046,1.309427695,-1.390707205
698.8,206.64,51.87,46.36,1.12,0.065461221,3,3.592891325,5.844280764,3.112336286,3.575109663,0.114525613,-1.841833103
1114.33,157.95,67.69,24.4,2.77,0.178662972,1,3.708158919,5.523692565,3.271669645,3.011966286,1.121246435,-1.335188983
674.8,179.03,46.93,41.06,1.14,0.084213834,3,3.583803897,5.672795117,3.051037942,3.469623775,0.13263001,-1.729106037
581.53,168.98,49.53,35.52,1.39,0.081463207,3,3.544383052,5.603954619,3.084159153,3.343061892,0.339546295,-1.744474061
391.78,107.9,36.75,23.35,1.57,0.134604433,3,3.433653519,5.074019312,2.897991633,2.972879344,0.470440535,-1.49433573
1237.6,265.05,67.2,42.29,1.59,0.07046682,3,3.732583628,6.14391716,3.267391459,3.495314106,0.484217263,-1.809762984
390.32,99.62,44.42,13.22,3.36,0.157321371,1,3.432563178,4.980539958,3.017042338,2.461565873,1.358629155,-1.40841265
853.15,136.89,60.05,21.57,2.78,0.182113415,1,3.643548496,5.354148174,3.200646086,2.902255723,1.125599344,-1.323927124
253.69,93.84,28.64,19.01,1.51,0.115235779,3,3.300927213,4.91072467,2.737009532,2.789299659,0.428234083,-1.575909976
1018.76,152.94,42.9,41.07,1.04,0.174216668,3,3.686862201,5.485431474,2.995386592,3.469835842,0.039363415,-1.349924949
438.67,100.14,44.21,15.51,2.85,0.174977719,1,3.466273272,4.986627749,3.014100512,2.606252505,1.155717535,-1.34738439
353.9,150.75,42.74,30.86,1.38,0.062291087,3,3.4036552,5.468324795,2.993056915,3.219603416,0.331877411,-1.863029734
346.57,163.02,43.38,23.95,1.81,0.052163795,3,3.397402339,5.561236459,3.002317364,2.995432617,0.627131631,-1.936188079
205.4,87.5,40.33,9.29,4.34,0.10731102,1,3.232017031,4.829197897,2.956729507,2.138983645,1.686628093,-1.61202921
750.89,218.11,54.74,43.84,1.25,0.063137177,2,3.611381061,5.909088316,3.14500258,3.526606106,0.227815677,-1.85730092
986.26,159.22,70.44,22.01,3.2,0.155616689,1,3.679064371,5.533205173,3.29505038,2.920261007,1.297844848,-1.414550889
1152.03,234.88,75.61,36.71,2.06,0.083527927,3,3.715961738,5.998147369,3.336346203,3.371897057,0.7732711,-1.732905433
441.5,174.63,44.57,36.15,1.23,0.057909924,3,3.468106064,5.643127639,3.019134074,3.358450253,0.211031254,-1.893587031
1580.29,281.05,80.06,45.03,1.78,0.080025723,3,3.787477539,6.214837244,3.369422202,3.549861275,0.608506971,-1.752648404
276.23,77.57,33.12,12.42,2.67,0.183629838,2,3.327868892,4.689262125,2.831456626,2.404796459,1.076997746,-1.319024283
959.94,161,71.44,22.27,3.21,0.148133174,3,3.67251863,5.546415171,3.303298773,2.930725842,1.301715593,-1.442061104
412.86,104.17,46.85,13.87,3.38,0.15218697,2,3.448870474,5.032798316,3.049986288,2.505126756,1.366060349,-1.427042812
650.53,203.64,53.01,43.26,1.23,0.062748181,3,3.57420889,5.826756809,3.125549743,3.515033208,0.211031254,-1.859928156
454.6,179.52,43.96,32.36,1.36,0.056423983,3,3.476409177,5.676055299,3.010577757,3.261341084,0.316402778,-1.904313079
1921.92,333.06,88.35,53.13,1.66,0.06930273,2,3.829478852,6.421073514,3.425854425,3.692977267,0.531349776,-1.817077111
239.39,110.76,29.27,23.8,1.23,0.078054887,3,3.282290639,5.104703745,2.751259928,2.9898497,0.211031254,-1.7640222
251.48,124.5,30.06,29.45,1.02,0.064897018,3,3.298130974,5.242198407,2.768649141,3.17840501,0.019838962,-1.84555288
777.3,221.28,52.76,43.48,1.21,0.063498627,3,3.620173886,5.926418835,3.122679618,3.519441767,0.194022933,-1.854869729
306.66,150.8,35.32,26.52,1.33,0.053940434,3,3.360305901,5.468718029,2.872703144,3.08582735,0.292839423,-1.922684331
300.75,118.8,36.6,22.92,1.6,0.085237901,3,3.354318569,5.187031116,2.895391451,2.956343251,0.491052739,-1.723473073
127.51,46.89,17.91,9.7,1.85,0.231976382,3,3.064933553,4.110649063,2.419867769,2.178700698,0.65157708,-1.175539975
1099.41,164.13,71.38,24.95,2.86,0.163246446,1,3.70498248,5.569305475,3.302807545,3.031749806,1.159970786,-1.387428323
670.48,141.75,63.77,17.43,3.66,0.133474924,1,3.582126755,5.395406282,3.236424913,2.711410353,1.466508711,-1.498861577
228.23,96.48,31.26,17.6,1.78,0.098074958,3,3.266787695,4.943113527,2.794102213,2.720135276,0.608506971,-1.656530639
568.08,168.45,52.44,27.46,1.91,0.080080626,3,3.538070983,5.600215305,3.118983437,3.116637996,0.687449755,-1.75233434
662.21,201.42,55.32,40.8,1.36,0.065290582,3,3.578879452,5.813627779,3.151369865,3.464091145,0.316402778,-1.842955778
454.42,93.1,33.85,18.79,1.8,0.209709482,2,3.476297052,4.901487969,2.845476512,2.778865557,0.620951548,-1.238767748
466.37,129.6,43.28,27.24,1.59,0.111065863,3,3.483626825,5.289528267,3.000880596,3.109526138,0.484217263,-1.594693733
495.7,139,36.87,34.5,1.07,0.102624088,3,3.500695808,5.372231689,2.90006319,3.317536971,0.068084058,-1.634266172
466.52,95.33,39.52,17.77,2.22,0.205338825,3,3.483717386,4.929111327,2.943967979,2.728773223,0.859372707,-1.251717099
686.75,123.42,53.94,19.26,2.8,0.180338136,1,3.588376563,5.231935609,3.136094382,2.801005628,1.134267023,-1.32970285
1032.97,228.36,57.09,42.04,1.36,0.079233279,3,3.690177931,5.964275119,3.170346032,3.490155799,0.316402778,-1.757198125
321.12,139.93,39.3,27.74,1.42,0.065600278,3,3.374386412,5.380118098,2.940450987,3.125604457,0.362286278,-1.840919707
228.02,75.73,32.35,12.52,2.58,0.159036577,1,3.266487257,4.661442366,2.816286445,2.412096864,1.036003762,-1.402282707
